pais,prob_32avos,prob_16avos,prob_Cuartos,prob_Semifinales,prob_Final,prob_campeon
Argentina,1.0,0.74295,0.52565,0.34685,0.2101,0.1227
Francia,1.0,0.75935,0.48735,0.3075,0.1926,0.11595
España,1.0,0.7059,0.4213,0.26185,0.14115,0.078
Brasil,1.0,0.5899,0.3959,0.22495,0.12815,0.06865
México,1.0,0.67425,0.3897,0.2218,0.12575,0.0654
Alemania,1.0,0.72025,0.3487,0.19735,0.1075,0.0574
Inglaterra,1.0,0.6691,0.363,0.19765,0.10565,0.05135
Países Bajos,1.0,0.5602,0.3428,0.1671,0.09205,0.05015
Portugal,1.0,0.63055,0.32485,0.1868,0.09245,0.04725
Suiza,1.0,0.69165,0.3914,0.1929,0.09305,0.0428
Bélgica,1.0,0.5796,0.3332,0.162,0.07635,0.03785
Colombia,1.0,0.6615,0.3613,0.175,0.0837,0.0375
Estados Unidos,1.0,0.67905,0.34615,0.1596,0.0724,0.03335
Canadá,1.0,0.6561,0.3018,0.1309,0.0617,0.0279
Marruecos,1.0,0.4398,0.25025,0.1063,0.0534,0.02635
Japón,1.0,0.4101,0.2415,0.1185,0.0577,0.0263
Egipto,1.0,0.5091,0.19105,0.08665,0.03435,0.0138
Senegal,1.0,0.4204,0.2094,0.0863,0.0323,0.01325
Costa de Marfil,1.0,0.50485,0.1858,0.07535,0.0308,0.0121
Australia,1.0,0.4909,0.17555,0.07505,0.02765,0.0102
Noruega,1.0,0.49515,0.1768,0.06945,0.0279,0.00975
Croacia,1.0,0.36945,0.14285,0.06535,0.0231,0.0091
Ecuador,1.0,0.32575,0.13185,0.0502,0.01925,0.00685
Austria,1.0,0.2941,0.111,0.0455,0.0158,0.0064
RD Congo,1.0,0.3309,0.11545,0.0421,0.0171,0.0055
Cabo Verde,1.0,0.25705,0.10775,0.04075,0.0129,0.00435
Ghana,1.0,0.3385,0.1283,0.04385,0.0148,0.0043
Suecia,1.0,0.24065,0.08605,0.03265,0.0103,0.0034
Sudáfrica,1.0,0.3439,0.10515,0.0318,0.0104,0.00335
Bosnia y Herzegovina,1.0,0.32095,0.11125,0.0326,0.0095,0.00305
Paraguay,1.0,0.27975,0.0779,0.0264,0.009,0.003
Argelia,1.0,0.30835,0.119,0.03895,0.01115,0.0027
Turquía,0.0,0.0,0.0,0.0,0.0,0.0
Escocia,0.0,0.0,0.0,0.0,0.0,0.0
Haití,0.0,0.0,0.0,0.0,0.0,0.0
Catar,0.0,0.0,0.0,0.0,0.0,0.0
Chequia,0.0,0.0,0.0,0.0,0.0,0.0
Corea del Sur,0.0,0.0,0.0,0.0,0.0,0.0
Curazao,0.0,0.0,0.0,0.0,0.0,0.0
Túnez,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Arabia Saudita,0.0,0.0,0.0,0.0,0.0,0.0
Irán,0.0,0.0,0.0,0.0,0.0,0.0
Nueva Zelanda,0.0,0.0,0.0,0.0,0.0,0.0
Jordania,0.0,0.0,0.0,0.0,0.0,0.0
Irak,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistán,0.0,0.0,0.0,0.0,0.0,0.0
Panamá,0.0,0.0,0.0,0.0,0.0,0.0
