pais,prob_campeon
Argentina,0.1227
Francia,0.11595
España,0.078
Brasil,0.06865
México,0.0654
Alemania,0.0574
Inglaterra,0.05135
Países Bajos,0.05015
Portugal,0.04725
Suiza,0.0428
Bélgica,0.03785
Colombia,0.0375
Estados Unidos,0.03335
Canadá,0.0279
Marruecos,0.02635
Japón,0.0263
Egipto,0.0138
Senegal,0.01325
Costa de Marfil,0.0121
Australia,0.0102
Noruega,0.00975
Croacia,0.0091
Ecuador,0.00685
Austria,0.0064
RD Congo,0.0055
Cabo Verde,0.00435
Ghana,0.0043
Suecia,0.0034
Sudáfrica,0.00335
Bosnia y Herzegovina,0.00305
Paraguay,0.003
Argelia,0.0027
Turquía,0.0
Escocia,0.0
Haití,0.0
Catar,0.0
Chequia,0.0
Corea del Sur,0.0
Curazao,0.0
Túnez,0.0
Uruguay,0.0
Arabia Saudita,0.0
Irán,0.0
Nueva Zelanda,0.0
Jordania,0.0
Irak,0.0
Uzbekistán,0.0
Panamá,0.0
