ronda,partido,equipo_1,equipo_2,estado,marcador,ganador,p_gana_1,p_empate,p_gana_2
32avos,3.0,Alemania,Paraguay,pendiente,,,0.5529333146257066,0.23250578082531068,0.21456090454898266
32avos,6.0,Francia,Suecia,pendiente,,,0.5850628369974864,0.19885296818409245,0.21608419481842106
32avos,1.0,Sudáfrica,Canadá,pendiente,,,0.24051217471033784,0.3144223846446254,0.44506544064503684
32avos,4.0,Países Bajos,Marruecos,pendiente,,,0.44370371080825993,0.21408186632400786,0.3422144228677323
32avos,12.0,Portugal,Croacia,pendiente,,,0.5016476536064995,0.229286062723896,0.26906628366960456
32avos,11.0,España,Austria,pendiente,,,0.5168049465496604,0.23178213747084603,0.2514129159794937
32avos,10.0,Estados Unidos,Bosnia y Herzegovina,pendiente,,,0.4749500623334981,0.24869844300379143,0.2763514946627105
32avos,9.0,Bélgica,Senegal,pendiente,,,0.4295858966186668,0.23577085797362246,0.3346432454077108
32avos,2.0,Brasil,Japón,pendiente,,,0.4286573309740756,0.2539315044421588,0.3174111645837656
32avos,5.0,Costa de Marfil,Noruega,pendiente,,,0.38656057481504513,0.2898155135130822,0.32362391167187277
32avos,7.0,México,Ecuador,pendiente,,,0.4737613782807451,0.30428052023865304,0.22195810148060197
32avos,8.0,Inglaterra,RD Congo,pendiente,,,0.43425045005614293,0.275937578432684,0.2898119715111732
32avos,15.0,Argentina,Cabo Verde,pendiente,,,0.4927550400821672,0.2841194286946829,0.22312553122315004
32avos,14.0,Australia,Egipto,pendiente,,,0.30234575056812935,0.33683445930729095,0.36081979012457965
32avos,13.0,Suiza,Argelia,pendiente,,,0.529236741861729,0.2411455864507138,0.22961767168755723
32avos,16.0,Colombia,Ghana,pendiente,,,0.37735688615325896,0.3536583108922005,0.2689848029545406
